id,address,city,state,zipcode,latitude,longitude,bedrooms,bathrooms,rooms,squareFootage,lotSize,yearBuilt,lastSaleDate,lastSaleAmount,priorSaleDate,priorSaleAmount,estimated_value
39525749,8171 E 84th Ave,Denver,CO,80022,39.84916,-104.893468,3,2,6,1378,9968,2003,2009-12-17,75000,2004-05-13,165700,239753
184578398,10556 Wheeling St,Denver,CO,80022,39.88802,-104.83093,2,2,6,1653,6970,2004,2004-09-23,216935,,,343963
184430015,3190 Wadsworth Blvd,Denver,CO,80033,39.76171,-105.08107,3,1,0,1882,23875,1917,2008-04-03,330000,,,488840
155129946,3040 Wadsworth Blvd,Denver,CO,80033,39.76078,-105.08106,4,3,0,2400,11500,1956,2008-12-02,185000,2008-06-27,0,494073
245107,5615 S Eaton St,Denver,CO,80123,39.616181,-105.058812,3,4,8,2305,5600,1998,2012-07-18,308000,2011-12-29,0,513676
3523925,6535 W Sumac Ave,Denver,CO,80123,39.615136,-105.069018,3,5,7,2051,6045,1996,2006-09-12,363500,2005-05-16,339000,496062
30560679,6673 W Berry Ave,Denver,CO,80123,39.61635,-105.07076,4,4,8,2051,6315,1997,2014-12-15,420000,2006-07-07,345000,514953
39623928,5640 S Otis St,Denver,CO,80123,39.615213,-105.070617,3,3,7,2051,8133,1997,2004-03-15,328700,1998-04-09,225200,494321
148975825,5342 S Gray St,Denver,CO,80123,39.620158,-105.063094,3,3,7,1796,5038,1999,2011-08-16,274900,2011-01-10,0,496079
184623176,4967 S Wadsworth Blvd,Denver,CO,80123,39.62677,-105.08199,3,3,0,2054,4050,2007,2015-12-01,407000,2012-10-30,312000,424514
39811456,6700 W Dorado Dr # 11,Denver,CO,80123,39.61454,-105.07135,3,4,7,2568,6397,2000,2014-11-12,638000,2005-03-22,530000,721350
39591617,4956 S Perry St,Denver,CO,80123,39.62874,-105.040126,3,2,6,1290,9000,1962,2004-02-02,235000,2000-10-12,171000,331915
39577604,4776 S Gar Way,Denver,CO,80123,39.630547,-105.100242,3,4,6,1804,6952,1983,2004-07-19,247000,1999-06-07,187900,389415
